代码,现价,涨跌,MA5,MA10,MA20,RSI,量比,评分
920992,15.56,4.15,14.96,14.87,14.74,57.1,1.46,100
920925,17.48,3.13,17.03,16.9,16.83,59.7,1.47,100
920914,26.26,7.18,24.84,23.82,23.4,65.8,2.53,100
920906,24.64,4.36,23.74,23.54,23.37,61.3,2.18,100
920896,17.77,5.27,17.02,16.74,16.64,65.0,2.25,100
920885,20.93,3.97,20.04,19.53,19.31,69.0,1.72,100
688499,53.89,5.4,51.61,49.26,49.22,57.5,1.62,100
920876,25.23,3.91,24.19,23.78,23.6,67.4,1.69,100
688456,58.03,1.97,56.62,55.12,53.85,67.6,1.22,100
920866,7.73,2.79,7.55,7.52,7.49,58.5,1.27,100
920857,25.5,0.95,25.2,24.99,24.71,47.6,1.48,100
920856,13.62,4.37,13.08,13.04,12.98,63.5,1.92,100
920855,16.37,4.47,15.74,15.69,15.48,64.3,1.54,100
920839,35.54,8.82,33.52,33.16,32.4,66.3,2.38,100
920832,6.84,3.01,6.66,6.6,6.58,62.6,1.39,100
920826,10.89,2.25,10.44,10.21,10.12,69.7,2.49,100
920810,11.67,3.46,11.28,11.23,11.13,65.9,1.99,100
920809,8.39,3.2,7.88,7.61,7.46,63.2,2.04,100
920807,12.3,3.54,11.89,11.71,11.65,62.2,1.64,100
920924,22.33,3.57,20.97,20.25,20.14,62.7,1.73,100
920879,20.47,3.54,19.89,19.79,19.72,60.2,1.95,100
920926,14.99,3.67,14.42,14.31,14.23,60.7,1.95,100
688432,15.15,3.2,14.62,14.36,14.07,68.6,1.34,100
920943,21.3,5.86,20.28,19.94,19.89,65.2,2.33,100
920946,10.39,2.87,10.12,10.05,9.83,64.9,1.43,100
920950,16.34,4.14,15.75,15.7,15.65,62.1,2.18,100
920953,31.34,4.08,30.05,29.47,29.28,65.2,2.24,100
920970,7.65,1.59,7.61,7.29,7.01,61.6,1.52,100
920957,11.46,4.37,11.07,10.99,10.94,58.7,1.36,100
688419,49.3,0.8,48.59,48.15,45.15,68.3,0.71,85
688501,26.19,0.54,25.54,24.66,24.62,58.0,1.09,85
688503,97.7,1.98,93.74,89.85,86.76,62.9,0.99,85
688479,35.13,-0.43,33.69,33.51,32.75,62.2,1.29,85
688409,99.13,0.01,98.47,96.19,91.83,61.5,0.98,85
688469,6.7,0.75,6.62,6.54,6.47,59.0,0.89,85
688489,39.84,0.33,39.43,38.7,38.36,59.8,0.7,85
688459,9.36,0.21,9.25,9.16,9.15,55.6,0.55,85
688448,62.91,1.98,60.18,56.88,55.45,68.4,0.92,85
688449,48.62,1.57,47.2,45.95,45.02,62.9,1.09,85
688502,411.11,16.33,359.63,345.99,324.35,76.8,2.99,80
688486,70.5,3.75,66.31,63.28,61.17,78.4,2.01,80
688485,43.5,0.42,43.19,40.12,32.9,76.0,1.27,80
920982,184.45,2.98,178.25,176.01,168.13,71.3,1.23,80
920808,82.2,3.14,78.76,74.6,72.84,73.6,2.61,80
688401,57.09,4.56,54.11,52.95,50.49,76.1,1.78,80
688416,90.09,6.41,83.42,78.99,77.34,75.9,1.67,80
920892,15.55,5.42,14.84,14.64,14.47,73.1,3.66,80
920821,25.1,15.14,22.33,21.77,20.98,76.9,4.1,80
688478,38.67,1.47,37.51,34.16,31.75,79.5,2.6,80
688475,29.57,0.72,29.23,27.98,27.15,77.6,1.26,80
920971,29.95,16.67,26.64,25.91,25.41,73.8,4.41,80
688403,17.59,4.21,16.47,15.77,15.05,72.3,2.02,80
688408,41.0,0.17,39.94,37.72,38.27,58.1,1.27,70
688484,37.26,-0.9,37.19,36.39,35.78,60.8,0.93,70
688439,51.14,0.24,51.12,50.29,50.42,50.9,1.25,70
688420,24.71,-0.96,24.44,24.31,24.17,52.8,0.78,70
688507,91.32,-1.64,89.26,86.69,86.2,58.7,1.06,70
920895,17.28,4.85,16.58,16.45,16.47,57.6,1.69,70
920819,3.58,2.29,3.54,3.55,3.57,46.7,1.68,70
920870,14.86,4.65,14.24,14.05,14.11,63.2,2.52,70
920931,12.32,2.58,12.06,12.21,12.14,57.7,1.38,70
920932,16.2,6.37,15.38,15.21,15.33,55.4,1.77,70
920837,12.89,3.2,12.46,12.37,12.4,56.1,1.49,70
920942,25.97,2.93,25.3,25.5,25.73,54.6,1.21,70
920834,12.24,3.99,11.81,11.78,11.85,56.0,1.85,70
920833,16.11,4.68,15.32,15.16,15.42,53.8,1.87,70
920961,23.99,6.86,22.74,22.3,22.3,63.9,2.11,70
920964,5.99,2.57,5.85,5.86,5.91,52.3,2.1,70
920974,7.77,2.78,7.55,7.5,7.54,56.8,1.84,70
920976,31.16,2.84,30.66,30.7,30.12,59.5,1.25,70
920978,28.53,8.23,26.84,26.93,26.59,59.2,1.69,70
920871,13.59,3.11,13.23,13.21,13.52,39.0,1.21,70
688450,41.26,2.41,40.66,38.7,35.67,75.6,1.06,65
688418,47.67,0.15,46.6,43.63,41.9,70.6,1.12,65
920873,8.13,1.88,7.97,7.66,7.23,79.6,1.12,65
688498,1445.0,10.05,1312.3,1221.37,1148.21,76.6,1.02,65
688455,29.55,1.55,28.84,28.4,25.93,72.5,1.06,65
688458,36.45,1.87,35.55,34.67,33.96,70.2,0.72,65
688400,48.94,1.47,48.11,46.51,43.43,72.3,1.01,65
920985,6.99,2.95,6.81,6.75,7.26,35.0,0.76,55
688500,52.27,-2.59,50.38,49.72,50.52,49.6,1.4,55
688429,15.06,1.41,14.68,14.25,14.99,43.7,0.61,55
688480,85.24,-2.88,86.15,84.83,84.17,53.2,0.83,50
920981,32.3,8.5,30.41,30.65,29.07,71.0,1.96,50
688488,19.36,-2.71,19.54,18.97,17.41,69.9,0.98,50
688428,30.8,-1.6,30.21,29.89,27.84,75.1,0.61,50
